round_epochs,loss,accuracy,val_loss,val_accuracy,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,neurons_layer_5,batch_size,epochs,dropout,kernel_initializer,weight_regulizer,emb_output_dims,optimizer,loss,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,last_activation
30,1.7852637767791748,0.29890507459640503,1.9907516241073608,0.18766938149929047,0.0001,32,128,128,256,512,30,0.2,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,relu,relu,tanh,elu,tanh,softmax
30,1.9641356468200684,0.2845693528652191,2.033418655395508,0.18733061850070953,0.0001,32,32,128,128,512,30,0.05,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,elu,elu,tanh,relu,softmax
30,1.7125060558319092,0.2932610809803009,1.9905418157577515,0.20020325481891632,0.0001,64,128,128,128,256,30,0.45,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,relu,elu,relu,relu,relu,tanh,softmax
30,2.0987977981567383,0.05779433250427246,2.086059331893921,0.06876693665981293,0.0001,64,64,256,128,512,30,0.4,normal,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,elu,relu,relu,relu,relu,softmax
30,2.0781102180480957,0.15757986903190613,2.0747852325439453,0.1720867156982422,0.0001,64,64,64,128,512,30,0.1,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,tanh,relu,relu,tanh,tanh,softmax
22,1.734057903289795,0.2932610809803009,1.967490553855896,0.18834687769412994,0.0001,32,256,64,128,512,30,0.0,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,tanh,tanh,elu,relu,elu,softmax
30,2.0663721561431885,0.22090528905391693,2.0769262313842773,0.18834687769412994,0.0001,32,128,64,512,256,30,0.30000000000000004,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,tanh,tanh,relu,elu,relu,softmax
30,2.091144323348999,0.12755389511585236,2.0796964168548584,0.1277100294828415,0.0001,32,128,32,128,256,30,0.30000000000000004,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,tanh,relu,elu,tanh,tanh,softmax
30,1.8384954929351807,0.2891974151134491,2.0132384300231934,0.22662602365016937,0.0001,128,128,32,128,512,30,0.30000000000000004,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,elu,elu,relu,elu,relu,elu,softmax
23,1.766753911972046,0.283214807510376,1.9925631284713745,0.1880081295967102,0.0001,32,32,256,64,256,30,0.15000000000000002,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,relu,relu,tanh,elu,softmax
