,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
69,30,1.9548468278593807,0.04417670518159866,1.94465137985283,0.1429525762796402,elu,relu,tanh,tanh,relu,256,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,0.0001,64,256,32,<class 'keras.optimizers.SGD'>,
280,6,1.9511490720342919,0.05622490122914314,1.9483082391615303,0.1402805596590042,relu,tanh,elu,tanh,relu,256,0.30000000000000004,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,64,256,256,<class 'keras.optimizers.Adam'>,
242,9,1.9638483888174156,0.05622490122914314,1.9342118484144142,0.2157648652791977,elu,elu,elu,tanh,relu,256,0.2,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,64,32,<class 'keras.optimizers.RMSprop'>,
1906,10,2.0882842540740967,0.05622490122914314,2.180749282410086,0.17835670709609985,elu,relu,tanh,tanh,tanh,512,0.25,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,128,256,32,<class 'keras.optimizers.RMSprop'>,
247,7,2.991710662841797,0.05622490122914314,3.0862114069536677,0.17034068703651428,tanh,elu,elu,relu,tanh,512,0.4,,30,uniform,softmax,categorical_crossentropy,6.00004,32,128,128,<class 'keras.optimizers.Nadam'>,
796,4,1.99198361716596,0.05622490122914314,1.9687880752241125,0.17434869706630707,elu,relu,tanh,elu,relu,256,0.45,,10,uniform,softmax,categorical_crossentropy,8.000020000000001,64,256,64,<class 'keras.optimizers.Nadam'>,
1282,6,1.9494199752807617,0.05622490122914314,1.9580647351348408,0.15297260880470276,elu,tanh,tanh,tanh,relu,512,0.45,,20,uniform,softmax,categorical_crossentropy,6.00004,32,128,32,<class 'keras.optimizers.RMSprop'>,
256,10,1.946933388710022,0.05622490122914314,1.9515979536071808,0.1877087503671646,elu,tanh,elu,tanh,relu,512,0.25,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,128,128,64,<class 'keras.optimizers.RMSprop'>,
1584,10,14.098374366760254,0.05622490122914314,18.85696517776153,0.1636606603860855,elu,relu,tanh,tanh,elu,512,0.0,,30,uniform,softmax,categorical_crossentropy,7.000030000000001,64,256,256,<class 'keras.optimizers.Adam'>,
1003,5,4.306943064233864,0.05622490122914314,3.7844363224052473,0.17635270953178406,tanh,relu,tanh,tanh,tanh,256,0.1,,20,normal,softmax,categorical_crossentropy,9.000010000000001,64,64,32,<class 'keras.optimizers.Nadam'>,
781,4,32.87439982096354,0.05622490122914314,3.8471632271348115,0.17167668044567108,elu,elu,elu,elu,elu,256,0.1,,10,uniform,softmax,categorical_crossentropy,3.0000700000000005,64,256,128,<class 'keras.optimizers.Adam'>,
113,5,2.045914607833188,0.05622490122914314,1.9889045042759113,0.15831662714481354,elu,relu,elu,elu,elu,256,0.45,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,32,32,64,<class 'keras.optimizers.Nadam'>,
637,6,4.879246506825029,0.05622490122914314,3.7713748085236025,0.17434869706630707,tanh,elu,relu,tanh,tanh,256,0.25,,20,normal,softmax,categorical_crossentropy,9.000010000000001,128,64,64,<class 'keras.optimizers.Nadam'>,
770,20,1.9588810205459595,0.05622490122914314,1.9489254304067882,0.13026052713394165,elu,elu,relu,elu,relu,512,0.05,,20,uniform,softmax,categorical_crossentropy,0.0001,64,128,64,<class 'keras.optimizers.SGD'>,
440,8,2.715764284133911,0.05622490122914314,2.7014606127996963,0.15698063373565674,tanh,tanh,tanh,tanh,tanh,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,4.00006,128,256,256,<class 'keras.optimizers.Adam'>,
1799,3,74.08083876644272,0.05622490122914314,62.891890292017955,0.1422845721244812,tanh,tanh,tanh,tanh,elu,256,0.0,,10,uniform,softmax,categorical_crossentropy,3.0000700000000005,128,256,256,<class 'keras.optimizers.Adam'>,
1259,9,1.9925953149795532,0.05622490122914314,2.0198626578769927,0.20440882444381714,relu,elu,relu,tanh,relu,512,0.25,,10,normal,softmax,categorical_crossentropy,7.000030000000001,64,128,64,<class 'keras.optimizers.RMSprop'>,
599,8,2.186089277267456,0.05622490122914314,2.3485067425844424,0.1409485638141632,relu,relu,elu,elu,relu,512,0.4,,20,normal,softmax,categorical_crossentropy,4.00006,32,128,128,<class 'keras.optimizers.Nadam'>,
1464,12,14.587955474853516,0.05622490122914314,15.393204408083745,0.13092851638793945,relu,tanh,elu,elu,elu,512,0.1,,20,normal,softmax,categorical_crossentropy,5.000050000000001,128,32,256,<class 'keras.optimizers.RMSprop'>,
91,6,3.7711456415643654,0.05622490122914314,3.813695765529064,0.15631262958049774,relu,tanh,relu,tanh,elu,256,0.0,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,32,32,32,<class 'keras.optimizers.RMSprop'>,
746,9,2.495466470718384,0.05622490122914314,3.040518879333017,0.1670006662607193,tanh,tanh,relu,relu,tanh,512,0.45,,20,uniform,softmax,categorical_crossentropy,5.000050000000001,32,32,64,<class 'keras.optimizers.RMSprop'>,
1940,7,4.106428623199463,0.05622490122914314,3.862893771711157,0.14696058630943298,tanh,elu,relu,tanh,tanh,512,0.1,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,32,64,128,<class 'keras.optimizers.Nadam'>,
83,6,2.3828063011169434,0.05622490122914314,2.7680696428180456,0.13961255550384521,relu,tanh,tanh,tanh,tanh,512,0.45,,10,normal,softmax,categorical_crossentropy,8.000020000000001,128,64,256,<class 'keras.optimizers.Adam'>,
449,3,6.476591110229492,0.05622490122914314,7.381882902934063,0.14829659461975098,tanh,elu,relu,elu,tanh,512,0.0,,20,normal,softmax,categorical_crossentropy,5.000050000000001,32,64,64,<class 'keras.optimizers.Adam'>,
1471,6,2.175692319869995,0.05622490122914314,2.5666451266230785,0.16165664792060852,relu,relu,relu,relu,tanh,512,0.2,,30,uniform,softmax,categorical_crossentropy,4.00006,64,256,128,<class 'keras.optimizers.RMSprop'>,
1222,5,2.238282179736708,0.05622490122914314,2.6149407817111783,0.1402805596590042,relu,elu,tanh,tanh,relu,256,0.0,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,64,256,32,<class 'keras.optimizers.RMSprop'>,
1221,6,1.9979906378979664,0.05622490122914314,1.9412752625618923,0.20040079951286316,tanh,tanh,relu,elu,elu,256,0.25,,20,normal,softmax,categorical_crossentropy,5.000050000000001,32,64,64,<class 'keras.optimizers.RMSprop'>,
67,5,1.9969645130586433,0.05622490122914314,1.9423919377043475,0.20774883031845093,tanh,relu,tanh,elu,relu,256,0.1,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,64,<class 'keras.optimizers.RMSprop'>,
1605,3,2.264650465494179,0.05622490122914314,2.2938974443561806,0.15965263545513153,relu,tanh,elu,elu,tanh,256,0.1,,10,uniform,softmax,categorical_crossentropy,6.00004,128,32,32,<class 'keras.optimizers.RMSprop'>,
1419,10,2.001555859324444,0.05622490122914314,2.2938354673111685,0.15430861711502075,relu,tanh,elu,elu,tanh,256,0.35000000000000003,,20,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,256,<class 'keras.optimizers.Adam'>,
1783,3,2.5883165210126395,0.05622490122914314,2.7582552714911635,0.12491650134325027,elu,elu,elu,tanh,tanh,256,0.30000000000000004,,10,uniform,softmax,categorical_crossentropy,5.000050000000001,64,128,256,<class 'keras.optimizers.Adam'>,
1296,5,1.9533164501190186,0.05622490122914314,1.9490409117980885,0.15564462542533875,elu,relu,elu,relu,relu,512,0.0,,10,normal,softmax,categorical_crossentropy,5.000050000000001,32,32,128,<class 'keras.optimizers.Adam'>,
813,3,2.0943924432777496,0.05622490122914314,2.652845347970824,0.15030060708522797,relu,relu,relu,tanh,tanh,256,0.45,,10,uniform,softmax,categorical_crossentropy,4.00006,128,128,256,<class 'keras.optimizers.RMSprop'>,
605,6,3.466482400894165,0.05622490122914314,9.938246021767656,0.17167668044567108,elu,tanh,tanh,elu,relu,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,256,64,<class 'keras.optimizers.Nadam'>,
893,10,1.9496991634368896,0.05622490122914314,1.9440338107531439,0.1429525762796402,relu,elu,tanh,relu,tanh,512,0.2,,10,uniform,softmax,categorical_crossentropy,0.0001,32,256,128,<class 'keras.optimizers.Nadam'>,
1865,10,2.5013561248779297,0.05622490122914314,2.459801178418085,0.13627254962921143,tanh,tanh,relu,tanh,elu,512,0.0,,20,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,64,<class 'keras.optimizers.Nadam'>,
1354,11,2.1042202476516785,0.05622490122914314,2.215456009229661,0.17969271540641785,elu,tanh,tanh,elu,tanh,256,0.25,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,128,256,<class 'keras.optimizers.RMSprop'>,
912,5,3.86462612898953,0.05622490122914314,3.0089380806417725,0.1656646579504013,tanh,elu,elu,elu,tanh,256,0.05,,20,uniform,softmax,categorical_crossentropy,6.00004,64,256,64,<class 'keras.optimizers.RMSprop'>,
178,10,1.9628878831863403,0.05622490122914314,1.9525827304792946,0.12692050635814667,tanh,tanh,relu,relu,tanh,512,0.2,,10,normal,softmax,categorical_crossentropy,0.0001,128,64,256,<class 'keras.optimizers.Adam'>,
887,6,3.5942089557647705,0.05622490122914314,3.870566478313887,0.15364061295986176,tanh,relu,elu,elu,tanh,512,0.35000000000000003,,20,uniform,softmax,categorical_crossentropy,8.000020000000001,64,32,128,<class 'keras.optimizers.Nadam'>,
