,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
1,4,3.0101961831012405,0.05622490122914314,3.0594310282705304,0.15163660049438477,relu,elu,relu,elu,tanh,256,0.4,,30,normal,softmax,categorical_crossentropy,6.00004,64,128,32,<class 'keras.optimizers.RMSprop'>,
42,5,1.94904870441161,0.05622490122914314,1.9298605532668476,0.22044087946414948,elu,relu,tanh,relu,relu,256,0.1,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,32,64,32,<class 'keras.optimizers.Adam'>,
79,4,2.656893222686277,0.05622490122914314,2.3953180499449522,0.1636606603860855,relu,relu,tanh,elu,tanh,256,0.2,,30,random_uniform,softmax,categorical_crossentropy,4.00006,64,256,256,<class 'keras.optimizers.RMSprop'>,
83,3,7.016138553619385,0.05622490122914314,7.477496310879409,0.17034068703651428,relu,tanh,tanh,tanh,tanh,512,0.45,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,64,32,256,<class 'keras.optimizers.RMSprop'>,
85,5,2.4046087475665603,0.05622490122914314,2.3087467126394,0.15831662714481354,tanh,relu,tanh,elu,tanh,256,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,128,128,256,<class 'keras.optimizers.RMSprop'>,
91,7,2.090697017539457,0.05622490122914314,2.0466004010431753,0.15564462542533875,relu,tanh,relu,tanh,elu,256,0.0,,30,normal,softmax,categorical_crossentropy,4.00006,32,32,32,<class 'keras.optimizers.Nadam'>,
46,30,1.9454800139469315,0.12851405143737793,1.9480065047621489,0.12825651466846466,tanh,tanh,relu,tanh,relu,256,0.35000000000000003,,30,random_uniform,softmax,categorical_crossentropy,0.0001,32,256,32,<class 'keras.optimizers.SGD'>,
76,4,1884.6000760855923,0.1325301229953766,769.2081592791703,0.16032063961029053,relu,tanh,elu,elu,relu,256,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,64,64,<class 'keras.optimizers.Nadam'>,
52,7,2.3110508918762207,0.1325301229953766,2.3372726817885954,0.1189044788479805,elu,relu,tanh,elu,tanh,512,0.05,,30,uniform,softmax,categorical_crossentropy,6.00004,32,128,64,<class 'keras.optimizers.Nadam'>,
97,9,3.381796360015869,0.1325301229953766,3.1601144162192694,0.15698063373565674,relu,relu,tanh,relu,tanh,512,0.25,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,64,64,256,<class 'keras.optimizers.RMSprop'>,
88,4,2.517890490681292,0.1325301229953766,2.940944576550103,0.13760854303836823,relu,elu,tanh,relu,tanh,256,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,5.000050000000001,128,128,64,<class 'keras.optimizers.Nadam'>,
54,3,12.212258338928223,0.13453815877437592,48.024176692516704,0.17434869706630707,tanh,relu,elu,elu,elu,512,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,128,64,64,<class 'keras.optimizers.Adam'>,
99,30,1.9509267807006836,0.13654617965221405,1.9512856650049877,0.1429525762796402,tanh,relu,tanh,elu,elu,512,0.45,,30,uniform,softmax,categorical_crossentropy,0.0001,64,64,256,<class 'keras.optimizers.SGD'>,
78,3,1.9946424286049533,0.13855421543121338,2.0523161294066914,0.17969271540641785,elu,relu,relu,elu,relu,256,0.25,,30,random_uniform,softmax,categorical_crossentropy,4.00006,32,128,128,<class 'keras.optimizers.Adam'>,
94,6,2.330552906396399,0.14257028698921204,1.9182177281968977,0.22912491858005524,tanh,elu,elu,tanh,relu,256,0.4,,30,normal,softmax,categorical_crossentropy,1.0000900000000001,128,256,256,<class 'keras.optimizers.Nadam'>,
53,30,1.9412109009233345,0.14457830786705017,1.939473627962585,0.15497662127017975,elu,relu,tanh,relu,elu,256,0.15000000000000002,,30,random_uniform,softmax,categorical_crossentropy,0.0001,64,256,64,<class 'keras.optimizers.RMSprop'>,
98,3,2.60337065405635,0.1526104360818863,1.988138085058234,0.18436874449253082,tanh,relu,elu,tanh,relu,256,0.4,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,64,32,64,<class 'keras.optimizers.Adam'>,
30,6,2.7555939576712,0.15461847186088562,3.2728632988735447,0.16967268288135529,elu,elu,elu,elu,tanh,256,0.15000000000000002,,30,random_uniform,softmax,categorical_crossentropy,6.00004,64,32,256,<class 'keras.optimizers.Nadam'>,
80,6,24.35541343688965,0.15461847186088562,16.8224332448874,0.1422845721244812,relu,tanh,elu,elu,elu,512,0.30000000000000004,,30,uniform,softmax,categorical_crossentropy,3.0000700000000005,32,64,256,<class 'keras.optimizers.Nadam'>,
32,23,29.277742385864258,0.15662650763988495,18.887655405975934,0.1402805596590042,elu,elu,tanh,elu,elu,512,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,4.00006,128,256,128,<class 'keras.optimizers.RMSprop'>,
65,7,3.2027846311469634,0.15662650763988495,3.0585279133452046,0.145624577999115,elu,relu,relu,elu,elu,256,0.35000000000000003,,30,random_uniform,softmax,categorical_crossentropy,6.00004,64,256,64,<class 'keras.optimizers.RMSprop'>,
